person_id,job_id,similarity_scores
209767,7722,5
134546,7750,6
225663,8908,4
318417,9279,5
83336,9128,5
258739,8935,5
214059,9398,6
96083,7597,4
325728,8935,4
325380,9195,5
242777,8404,4
142461,8390,5
124030,7610,4
143240,7603,7
53858,9419,4
325510,9022,4
80666,8549,5
82674,7638,5
258833,8935,4
235947,8419,6
242700,8731,4
266778,8739,6
124751,8050,4
315130,9186,5
117037,9155,4
85852,9517,6
194009,8403,5
147922,9157,5
282333,9621,4
213740,8143,12
288885,8403,6
230205,8029,4
242805,7814,4
200662,8889,5
98518,8572,4
154365,7612,6
122925,8161,4
104009,8911,5
80666,9107,7
96304,7734,4
145416,7612,4
160479,9518,4
321704,9350,4
101863,8418,4
208696,7589,5
147650,7597,6
109435,7702,5
221326,7711,5
210592,8390,5
324493,9459,4
256079,9436,4
310724,9101,5
235947,7825,6
140473,8739,6
239161,7825,4
77835,7621,6
104009,8938,5
162461,8054,4
197485,9195,5
78480,9355,5
214083,7774,4
78050,7780,6
85036,7729,4
321679,9279,5
85036,7706,6
248976,7711,5
232663,7638,6
190163,9160,5
93232,7610,4
248976,7828,4
98116,7588,5
296495,8935,4
87669,9123,4
325328,9567,4
153991,8404,4
113887,7740,6
225168,8968,5
211211,8984,4
108421,8908,5
318679,9149,4
299622,8404,6
147922,9195,5
92969,8727,4
114300,9494,4
78382,8912,5
220592,7589,6
64099,8403,4
157816,8795,6
261712,8390,4
321575,9459,4
128014,9128,5
305540,9279,4
306433,9111,5
214083,7667,12
203583,9569,5
234490,9298,5
168231,7603,5
86751,7696,5
63077,7697,5
213718,8390,4
206249,7673,5
160929,7603,6
211799,7673,4
206962,8571,4
245505,7750,4
196137,9298,6
210816,7636,11
156046,8390,4
110117,7912,6
305540,9195,5
261080,8938,4
186925,7610,6
209767,7598,4
251554,8166,5
155774,9398,5
60341,9567,6
253649,8693,12
320425,9298,4
170305,8579,5
113182,8610,4
170532,8803,4
235564,8833,4
207845,7608,6
175249,9349,4
201868,8937,11
183160,8515,12
83435,8757,4
67356,8404,6
62290,7684,4
245505,8059,5
115803,8926,7
249170,8397,5
179574,8610,5
69201,8610,4
177383,8894,4
322451,9358,4
79570,8999,5
6947,7913,4
222686,8059,5
69179,7733,4
130505,8411,4
98749,9459,5
211189,7706,5
224116,8418,12
254727,8786,12
189507,9231,4
175249,8147,4
16654,8925,12
93881,8891,4
185968,7752,11
186098,9195,4
209114,7601,6
325222,9494,5
119032,7622,7
97259,8740,4
209680,7576,4
112098,8419,4
77159,9110,5
194009,8611,4
200662,8876,6
177591,9152,4
136371,7665,4
201836,8831,7
76843,9195,5
244086,7685,4
148066,7603,7
87669,9240,12
219960,7692,5
177382,9189,6
182797,8419,4
322735,9350,4
113974,8059,5
297716,8404,6
158645,8404,5
221552,9436,4
319676,8419,4
252438,9087,4
213304,7673,4
147908,8404,4
207714,8418,4
136371,7706,4
260173,8910,5
89276,9563,5
188612,7754,5
141325,8947,4
62290,7604,6
258894,8166,5
181327,7912,4
132028,9279,11
238150,8935,4
318080,9357,4
261080,9123,4
180570,8390,4
124751,8195,4
325132,9356,4
144043,8390,4
248518,7636,4
296495,8892,4
109435,7706,6
324347,9283,5
229331,7646,6
206247,7611,4
140350,8762,5
158623,9215,5
201517,7829,5
318473,9149,5
131559,7812,4
305174,9100,5
35236,7750,4
152481,8404,4
32291,7734,4
280663,9215,4
175249,9338,6
116610,8587,6
213677,7764,4
148892,9128,6
194360,8419,11
164321,8404,4
324564,9398,4
114300,9621,4
104009,9160,11
194009,8571,4
290221,8786,4
87669,9258,4
174749,7912,5
62965,8390,5
137552,7592,4
120855,7779,6
104168,7750,4
235247,8059,4
169138,8611,4
127746,7779,6
324915,9283,4
323935,9450,4
324450,9459,5
225168,8891,5
77159,9230,4
57128,9184,4
174749,8404,6
324493,8726,5
135505,7912,4
201034,7603,4
98663,7779,4
179574,7697,5
169681,7736,5
324937,9567,4
262952,8609,4
324696,9195,5
128014,9350,5
242805,7640,4
163442,8833,4
281592,8717,5
131559,9397,4
103154,9279,6
317295,9195,5
35236,8052,4
187814,7606,4
175257,8410,4
252438,9428,4
213309,7579,5
128169,8404,6
178165,7601,6
255272,8515,4
213323,7621,6
253649,8600,6
325328,9494,4
200662,7697,6
313145,9149,6
241448,8968,12
318637,9283,5
318080,9283,5
170532,8846,4
242700,8984,5
321632,9300,4
204526,7638,4
71475,8066,4
160688,7608,6
187150,8762,4
216612,8724,5
233048,9283,5
260827,8740,6
68188,9219,4
325029,9623,5
236596,9469,6
318637,9195,5
61761,7825,4
177591,8419,4
202657,7733,6
87669,7697,6
35236,8570,6
183449,7691,5
92953,7597,5
318080,9195,5
249530,7697,5
92953,7611,5
285732,8739,5
239161,7779,5
119032,8892,5
148699,9022,4
177591,7697,5
318637,9518,4
137728,9338,4
94474,9010,4
53321,9128,5
148892,9392,12
114300,9517,5
324824,9557,4
288885,8530,4
214314,7706,5
317295,8912,5
132504,8762,4
295916,8876,7
181327,8803,4
119032,8962,5
110487,8419,6
109026,7779,6
321384,8762,4
160448,7590,5
325222,9195,5
182190,8410,4
147650,8418,4
157192,8935,5
128169,8848,6
320021,9279,5
143803,7603,6
115803,8419,6
88705,8404,4
89276,9232,4
256079,8935,4
322735,9233,6
183113,8515,7
113182,8693,4
89593,8404,7
322941,9628,4
112188,7640,4
57128,8999,5
299622,8938,6
97377,7828,6
153989,7913,4
131489,8555,6
34059,7611,4
148892,9160,5
119108,8935,6
263906,7717,4
117027,8390,5
322808,8938,5
324218,9623,5
158942,7611,6
242549,7913,6
279239,8419,4
325029,9409,5
160911,9455,4
225238,8061,5
319522,9279,4
324717,9195,5
234490,9258,4
18012,9010,4
76843,7603,6
317295,9128,5
207441,7836,6
145416,7579,6
324835,9215,5
249530,9415,5
320021,9283,4
93881,8579,5
160230,8029,5
286461,8404,5
148845,8419,5
194009,8600,5
171302,653,4
154995,8326,4
60667,7697,5
243053,7912,6
177382,8975,4
252438,8727,5
200921,8876,5
289884,8739,12
252438,9100,5
260098,8404,4
200662,9109,6
220592,7734,4
89593,7738,4
286461,8610,4
120488,9123,11
263297,8404,4
79580,7611,6
286461,8876,4
260173,8911,5
322941,9283,5
119647,8162,6
174111,8390,4
35236,7667,4
257459,8390,4
212550,9300,4
316518,9218,4
158075,8703,6
212260,7588,5
233048,9128,5
197658,7680,7
110487,8911,6
132504,8968,5
98196,7640,12
197485,8975,4
223463,7700,5
109435,8703,6
139303,8404,6
317912,9230,7
175249,7913,6
116008,8926,6
19399,7679,6
303742,8964,4
87669,9233,6
179574,8833,4
96304,7589,6
322808,8762,4
251658,8530,4
242700,8880,5
221985,7733,4
325476,9494,4
203583,9494,4
324336,9567,6
147922,8762,4
162505,8515,6
221326,7622,5
99654,8600,5
140386,7673,4
239161,7597,5
319489,9195,5
285256,8610,4
194036,7812,4
92953,7712,6
9675,9230,4
144043,8739,4
183449,7750,6
90801,7780,6
93155,8662,5
206249,7763,11
181999,7673,5
115895,8515,4
83435,8803,7
140233,7591,4
93232,8908,5
164582,7664,4
318080,9160,5
317912,9187,5
115803,9086,5
317295,9231,4
177983,7673,4
187150,9185,4
62083,9429,6
171006,7908,5
318679,9398,6
234490,9350,4
315130,9283,5
248518,8569,4
322428,9195,5
232662,7718,4
207441,7752,6
108421,7638,5
104009,8404,5
255891,8166,5
211127,9087,6
36677,7635,4
235564,8390,5
4755,7697,7
94764,7587,4
133115,7745,6
104168,8059,6
154179,8703,4
212707,9289,5
92254,7603,6
200921,8892,5
197394,8410,4
324761,9436,4
142461,7697,6
160911,9195,4
111578,8739,4
242549,8403,6
252438,9610,4
210816,7601,4
162461,7665,4
236576,8662,5
198994,7734,4
139152,9022,5
117423,7579,6
68188,9024,6
210592,9230,6
241709,8059,4
147908,7912,4
206962,7913,6
101863,7603,4
200921,8962,5
137711,8935,5
120488,9109,4
153989,8726,4
107870,8404,5
206614,7773,4
324493,9610,4
187150,9298,4
235564,8910,4
311184,9109,4
236530,8390,4
235142,8724,6
76709,9195,4
255263,8404,4
61761,7589,4
68188,8911,4
118551,8052,4
117228,8935,4
169244,7684,6
201517,7913,5
108421,8860,4
60341,9611,6
130858,8999,5
235144,7747,4
258288,9160,4
139152,9086,4
164321,8833,4
252438,9157,4
242682,8409,4
141325,8724,11
324456,9550,4
276148,8579,5
321144,9398,5
234974,7584,5
140764,8195,4
175513,8390,4
240662,7855,5
201740,7621,5
136371,7638,4
324347,8762,4
32291,7685,5
305174,9007,4
287384,9159,5
177382,9231,4
117423,7581,4
213323,7611,4
141999,8410,4
321625,9283,6
101024,7812,4
283234,9397,6
128014,9195,5
131538,9239,5
213867,7691,4
96304,7773,5
173142,9195,5
241709,7734,4
239440,9152,5
67461,7697,4
244086,7828,6
81152,8962,6
222520,9279,6
120584,9265,4
305174,8876,6
325380,9231,4
76843,8942,6
260173,8404,6
131489,8572,4
313841,9232,4
105838,8549,4
89608,8926,4
136371,8349,6
234490,9187,4
299622,8876,4
109991,8419,5
41049,653,4
208643,7589,5
106050,8349,6
201656,8935,4
208323,7604,6
214261,8419,5
324716,9233,6
145416,7590,6
242682,7603,12
85036,7665,5
168715,7591,4
79418,7603,4
248619,7749,4
112299,7814,4
306167,9109,4
251986,8611,4
317295,8762,4
132504,9283,5
317581,9195,4
223771,8962,5
92933,8882,4
206962,8894,5
145416,7581,4
235247,7763,5
134934,8610,5
109060,7581,4
200662,9149,7
76709,9355,4
325328,9569,5
313841,9549,5
77770,8610,4
187150,9195,5
311184,8762,4
324824,9469,4
234490,9398,5
177591,9107,4
164559,8911,6
190163,9298,4
186181,8418,12
53321,8968,5
322451,9215,12
305174,9000,5
62083,8900,4
235144,8775,5
142461,7912,4
322808,9569,4
226267,9398,5
125074,7697,7
236045,7589,11
211310,7691,5
77036,8900,12
214083,7601,4
177591,9112,4
193729,9086,5
144043,8728,4
219960,7603,5
102274,7576,4
258833,9650,4
97181,7576,4
261080,9100,5
77159,9022,4
85852,8390,5
102274,7692,5
94764,7583,5
250969,7596,4
211127,9339,4
193717,7611,12
83336,9195,5
112799,8059,4
117423,7590,6
325569,8942,5
55607,7589,5
101024,7913,4
113587,7740,4
71385,7606,4
234490,9128,4
206810,7611,5
227374,7763,4
78382,8900,4
288572,8166,5
160929,7909,5
287384,9128,6
19855,8515,6
323961,9500,6
89234,7673,4
170532,8831,4
253289,8598,4
162560,7673,4
78480,8935,8
147922,9160,5
124751,8162,6
175240,7584,5
111080,9215,4
69989,653,6
242700,8579,5
286461,8833,6
324380,9283,6
262952,8668,7
207714,8390,12
214314,7780,6
197485,9283,6
142812,7697,4
124751,8410,12
134976,7611,5
213309,7681,4
181327,8404,6
321704,9283,6
126758,9195,5
224116,7673,4
209680,7613,6
172385,7588,5
139152,8390,4
212914,8515,7
295916,8938,4
201868,8931,5
306433,9187,4
179729,7855,6
317295,9157,4
325705,8911,5
87667,7738,6
69183,9185,5
76843,9436,6
86751,8418,4
117228,9022,5
318888,9195,12
83336,9458,12
200788,7597,4
133324,8163,5
206116,9283,5
164065,7680,5
109991,9024,6
68188,9159,5
190163,8762,5
308624,9087,4
196137,8911,5
76499,8998,5
59998,8390,4
200382,7750,8
321632,9195,4
57128,7697,4
179347,8975,4
305540,9338,5
158075,7740,4
170532,8844,4
241709,7855,5
4755,7685,4
131538,9100,5
200662,9086,5
160400,7603,4
86061,9024,5
262952,7638,4
225877,7775,4
131489,8404,6
181327,8739,4
181999,8741,6
63077,7685,5
116008,9155,4
98518,8410,4
209680,7611,5
175240,7706,4
244633,7912,6
132504,9087,4
318888,9300,4
77565,9232,4
116008,8911,11
165094,7664,4
308624,9157,7
111083,7750,6
319489,9279,6
236587,7707,12
255891,9284,6
140350,9233,4
283234,9349,5
236211,7584,5
248976,8404,4
196137,9186,5
237313,8761,5
142812,7912,4
98910,7749,4
194243,8549,4
29838,7748,5
285732,7697,7
169244,7733,6
112898,7706,5
324287,9549,7
324343,9283,6
206116,9680,4
324287,9338,7
154365,8609,5
259412,8515,6
311184,8876,5
200202,7691,6
245505,7856,5
324937,9621,5
228927,7737,7
137131,7697,5
252438,9563,4
173357,8957,11
85036,7638,4
187150,9233,5
147896,8935,4
103566,7603,5
239161,7723,5
109435,8163,6
193717,7621,6
142461,8572,5
164559,9000,5
126099,7734,4
211127,9338,6
315618,9289,4
263906,8668,4
102274,7611,6
251986,8831,5
239161,7603,5
160345,8515,6
89276,9566,4
85852,8762,4
158623,9187,4
241448,9133,6
88705,8739,4
130257,8739,12
76843,9231,6
208823,7611,4
62290,7745,4
106051,7697,5
318080,9499,4
132028,9195,5
322941,9564,5
53858,9301,4
111074,8419,7
245631,8564,12
125209,9160,5
147373,8610,5
200921,8739,4
96558,7909,5
235076,8786,11
168834,7812,5
280811,8812,4
322574,9300,5
69249,8413,12
315618,9358,4
201089,7673,5
207845,7591,12
112596,8610,4
233735,8576,4
223460,9219,4
98518,7589,6
179347,9240,4
116008,9109,4
139152,9160,6
315130,9160,4
174111,7912,4
83336,8762,5
261080,9128,5
244633,7734,7
98663,7603,4
282333,9494,5
53001,8515,4
121443,8609,4
81107,7859,4
286461,8739,5
157192,9650,4
170532,8579,4
221326,7684,6
119064,9279,4
75375,8744,4
242549,7733,6
86061,8390,5
172385,9402,6
154995,8390,12
194009,8789,4
154365,7581,4
54027,8549,5
130763,7601,6
194009,8894,7
323329,8942,4
197870,7613,6
53321,8762,5
87669,9110,6
175249,9157,6
182883,7638,5
170305,8403,4
318417,9195,5
213677,7611,4
158623,8166,5
276148,8753,4
158942,7745,5
320021,8762,4
194673,7707,7
234974,7775,4
120273,7707,6
323824,9283,5
101024,7733,4
320021,9233,4
157990,9550,4
261080,8762,4
152726,7847,4
289659,9189,5
315130,9189,4
68188,9100,4
224156,8404,4
76843,9494,4
119032,7697,4
315130,8938,4
211310,7601,6
317149,9149,5
216612,9149,5
291544,8811,5
132282,8515,4
193019,8549,4
279239,9160,5
158942,7724,6
322941,9233,5
240008,7829,5
174906,9265,4
222520,9298,4
251340,8833,4
175249,9231,4
148699,9086,4
85734,9283,5
322941,8762,5
256240,9195,4
91413,7855,6
98364,7603,4
311184,9100,5
206614,7812,4
62965,8419,5
296665,8880,12
258288,9279,4
133324,8149,5
181327,8728,4
109991,9086,4
178262,7745,4
227374,7738,5
255891,9215,6
324456,9283,4
89593,7912,6
104009,7697,6
83336,9398,5
156310,7912,4
306167,7697,5
142461,7589,6
242682,7750,4
197485,9279,5
322669,9494,4
325029,9195,5
193802,9556,12
112799,7603,4
87669,9000,4
318679,9415,4
197485,9518,5
202966,9086,4
322735,9398,4
148892,9230,5
279239,9372,4
19404,653,12
87669,9190,4
242425,9286,4
148892,9377,4
325451,9621,4
141325,8917,4
137131,8767,4
77835,7750,7
141999,7610,4
260173,8900,6
92953,7692,5
260827,8931,6
305174,9105,4
313841,9428,5
244670,8726,4
83435,8739,4
213309,7612,5
152481,8608,5
295916,8900,11
197870,7589,4
170305,8846,11
281592,8744,4
283988,9225,4
325155,9219,6
176284,9010,12
221326,7733,4
67356,8390,6
53321,9087,4
125074,8404,4
112596,7697,4
185686,7750,4
325328,9195,5
62965,8418,6
248518,8327,4
53858,9458,12
182883,7717,6
249530,8404,5
85913,7603,4
177382,9159,4
322808,9518,5
220592,7611,6
196180,8166,5
324205,9283,5
221326,7669,5
325030,9494,4
157990,9283,6
97377,7685,11
160230,7752,4
317174,8942,6
137131,8390,5
130257,8149,7
139303,7828,5
324336,9494,4
240440,7780,6
281592,8166,4
94474,9019,4
322808,9195,4
164552,7640,4
98910,8549,4
112188,7718,5
236530,9128,4
306433,8911,4
160929,7855,6
119032,7859,6
148699,8911,4
111080,9159,5
201868,8968,4
178514,7773,5
206962,8739,4
68188,7697,4
298062,8984,6
324824,9157,4
89276,9499,6
118551,7696,6
109881,8593,4
251000,8664,4
107870,7597,5
108165,8571,4
254672,7912,5
254672,7589,5
259821,9398,4
324761,9549,5
197485,9258,8
236211,7598,5
224156,7603,4
174749,8418,4
200921,8419,6
104009,9258,4
285732,8728,4
77036,9018,4
322941,9350,4
182883,8668,4
201517,7711,12
180570,7591,4
93881,8894,4
194243,9107,6
324205,9195,5
169681,7604,6
158942,7734,4
127637,8404,4
295916,8892,6
57128,9128,12
311759,8419,12
53858,8935,11
307084,9107,4
199829,7611,4
200662,9195,5
190163,9279,5
324347,9233,5
236530,9392,4
321258,9279,6
315618,8166,4
242700,8937,6
136371,7780,6
126758,8762,4
128114,7611,4
111080,9187,5
98910,8166,4
227374,7697,4
290627,8786,4
213304,7841,7
213867,7601,4
77598,653,4
148551,7679,5
194402,8419,4
157816,8786,4
63050,7696,5
283234,9338,4
208823,7621,6
250969,8397,5
223479,8935,5
260173,8739,5
276148,8762,4
211310,7636,7
96994,7750,6
128169,8728,6
324924,9283,5
196137,9159,5
127746,7828,4
306433,8419,4
158942,7684,7
323801,8390,4
321679,9231,4
93155,7697,7
78050,7833,5
87503,9087,4
209418,7685,4
174111,7697,5
107662,9015,11
202966,7697,5
225379,7697,4
235142,8404,11
182080,8744,4
321575,9338,4
140764,8703,4
120488,8911,4
321201,9338,5
85852,9024,4
290221,8763,4
164559,9100,5
158965,8403,4
96994,7685,5
212707,9369,5
306167,9086,4
57128,8724,4
178262,7734,6
211211,8963,11
152440,8390,4
219960,7621,8
140350,9195,5
145416,7587,6
177591,9128,5
157816,8817,4
319741,9279,4
148892,9233,5
36677,7761,4
172385,9357,11
235247,7765,6
213309,7581,12
310724,9128,5
119647,7785,4
109435,7780,4
324824,8726,5
113587,8195,4
6947,8425,6
144161,8999,4
318366,9283,5
252438,9625,4
207714,8404,11
132379,8515,4
142461,8404,6
311184,9233,5
147650,7912,5
226267,9501,4
204146,7611,6
240663,8059,6
185799,9556,4
236576,8739,4
104168,7856,6
177591,9000,4
241448,7684,5
196137,9283,5
234490,9392,6
324493,9549,4
184591,8670,4
136371,7717,6
176077,8419,4
223463,7686,5
325029,9629,4
232662,7640,6
130858,9189,5
228378,9355,4
325328,8900,4
177383,8882,5
248619,8327,5
89593,7611,4
122583,7611,4
111074,9240,6
82828,7673,4
294244,9231,4
207040,9429,5
324937,9494,6
160688,7591,6
297716,8549,5
216612,7697,4
91477,8149,6
77159,7696,4
216612,8419,5
87915,8326,4
153991,8757,11
248518,8606,4
236045,8518,5
324218,9195,5
193717,7603,6
315130,7697,5
91044,8912,4
86751,7685,4
132504,9195,4
120273,7601,8
172385,9300,5
254685,8549,6
180916,7680,6
132969,7611,5
85852,9283,5
93155,8739,4
263906,8887,4
202966,9100,5
306167,9149,4
74775,7611,4
209680,7663,4
98663,7908,12
239161,7621,5
92254,7908,5
112649,8419,4
226104,9494,6
249170,7909,5
242777,7597,4
120488,9086,4
127637,8599,11
240663,7855,5
66756,7611,5
245487,8724,5
316328,9159,5
118515,9265,4
126753,9369,4
62357,9123,4
232663,7736,4
202966,8926,6
306433,8968,4
242682,7685,4
112299,7779,6
322428,9494,4
87503,8999,5
240663,7603,4
324493,9557,4
210423,8055,6
291544,8740,4
200662,7603,5
163442,8610,4
89608,9186,4
111080,9286,4
244633,8161,7
33211,9159,6
180252,8935,5
319676,9286,4
139152,9105,7
243393,7913,4
139152,9109,4
76843,9149,4
147878,7603,5
325225,9195,5
257352,8682,12
318637,8762,5
113226,7657,8
53321,8876,5
140233,7609,6
88705,8610,4
173357,9230,4
125209,9298,4
199610,7606,4
154365,7583,5
245487,8728,5
169557,7776,4
214261,9219,4
323325,8390,4
176384,8611,11
112596,7696,5
108421,8609,5
79570,9105,4
306433,9152,4
154365,7740,8
135329,9155,4
158965,7596,4
325380,9258,4
225379,9195,5
306700,7697,5
202966,8404,4
200202,7589,5
68188,9128,5
174749,8061,5
61761,7734,4
242549,7724,5
173357,9149,6
195987,8740,5
87669,8419,5
234490,9233,4
112596,8404,6
223641,8727,4
87669,9186,6
168231,8418,4
325030,9517,6
109507,8724,6
323325,9507,4
174111,8404,4
98601,8390,4
201740,7611,5
163939,9265,8
325029,8762,4
147878,7697,4
207714,7828,4
79580,7603,11
285732,8610,4
221552,9355,4
78382,9087,4
85036,7780,4
174749,7603,4
128614,8515,4
223771,8419,5
260098,8610,4
241448,9087,4
128169,8610,5
233735,8515,6
225238,7855,4
122098,8515,6
206116,9621,6
206962,8622,6
112299,7685,7
225238,7603,5
241448,9189,4
173357,9184,5
206116,8900,4
239161,7697,7
235047,7733,4
209767,7638,6
197394,7775,5
200009,9283,4
235947,7603,4
257463,8693,5
112188,7694,5
93881,8975,4
195987,7724,5
259821,9494,5
255417,8668,4
214059,9258,5
154155,7679,5
258288,8762,4
315618,9215,5
85852,9501,8
324716,9195,5
172385,7733,4
206116,7611,4
289659,9195,5
315130,9195,4
62357,9086,4
63077,7748,7
109507,7597,6
57128,9087,5
317295,9000,5
324110,9230,4
177681,8711,12
246973,8403,4
156046,8418,4
64099,8900,6
96304,7611,6
213136,7765,4
84293,8762,6
187323,8744,5
194037,7737,5
324564,8390,5
235564,8404,5
196137,9189,6
206116,9641,4
194009,8912,5
239161,7589,5
57128,8938,5
321704,9195,5
214261,9110,4
248976,7912,4
305644,9100,5
156310,8693,6
194009,8147,6
184793,7685,6
225238,7912,6
115655,7912,5
154451,7706,4
252438,9232,5
111080,8166,4
230225,7666,6
252438,9586,4
321144,9233,4
156046,8422,5
318366,9338,4
93881,9087,5
275414,9265,4
149471,8803,4
252290,7912,5
211211,8579,12
261712,8663,4
201868,8882,5
175240,7722,5
195533,7606,4
89593,7604,6
85036,7717,4
282333,9258,5
261071,9301,4
285256,8390,5
175257,8326,11
113974,7779,4
169138,8740,5
153989,8403,5
318679,9283,5
157925,8390,4
180328,7604,6
324924,9623,4
174749,8390,5
200662,9022,7
295916,8844,6
254672,8572,5
235564,7613,4
279677,7696,5
248976,8055,4
307084,9111,4
238489,8390,5
89276,9417,4
253180,8530,6
319545,9289,5
93881,8938,5
177591,9086,5
83336,9377,4
317149,9195,5
282333,8762,4
4755,7750,4
127637,8693,11